A1	A2	A3	A4
0	0	1	0
0.15707963267949	0.156434465040231	0.987688340595138	0.154508497187474
0.314159265358979	0.309016994374947	0.951056516295154	0.293892626146237
0.471238898038469	0.453990499739547	0.891006524188368	0.404508497187474
0.628318530717959	0.587785252292473	0.809016994374947	0.475528258147577
0.785398163397448	0.707106781186547	0.707106781186548	0.5
0.942477796076938	0.809016994374947	0.587785252292473	0.475528258147577
1.09955742875643	0.891006524188368	0.453990499739547	0.404508497187474
1.25663706143592	0.951056516295154	0.309016994374947	0.293892626146237
1.41371669411541	0.987688340595138	0.156434465040231	0.154508497187474
1.5707963267949	1	6.12323399573677e-17	6.12323399573677e-17
1.72787595947439	0.987688340595138	-0.156434465040231	-0.154508497187474
1.88495559215388	0.951056516295154	-0.309016994374947	-0.293892626146237
2.04203522483337	0.891006524188368	-0.453990499739547	-0.404508497187474
2.19911485751286	0.809016994374947	-0.587785252292473	-0.475528258147577
2.35619449019234	0.707106781186548	-0.707106781186547	-0.5
2.51327412287183	0.587785252292473	-0.809016994374947	-0.475528258147577
2.67035375555132	0.453990499739547	-0.891006524188368	-0.404508497187474
2.82743338823081	0.309016994374948	-0.951056516295154	-0.293892626146237
2.9845130209103	0.156434465040231	-0.987688340595138	-0.154508497187474
3.14159265358979	1.22464679914735e-16	-1	-1.22464679914735e-16
3.29867228626928	-0.156434465040231	-0.987688340595138	0.154508497187474
3.45575191894877	-0.309016994374947	-0.951056516295154	0.293892626146236
3.61283155162826	-0.453990499739547	-0.891006524188368	0.404508497187474
3.76991118430775	-0.587785252292473	-0.809016994374947	0.475528258147577
3.92699081698724	-0.707106781186547	-0.707106781186548	0.5
4.08407044966673	-0.809016994374947	-0.587785252292473	0.475528258147577
4.24115008234622	-0.891006524188368	-0.453990499739547	0.404508497187474
4.39822971502571	-0.951056516295154	-0.309016994374948	0.293892626146237
4.5553093477052	-0.987688340595138	-0.156434465040231	0.154508497187474
4.71238898038469	-1	-1.83697019872103e-16	1.83697019872103e-16
4.86946861306418	-0.987688340595138	0.156434465040231	-0.154508497187474
5.02654824574367	-0.951056516295154	0.309016994374947	-0.293892626146236
5.18362787842316	-0.891006524188368	0.453990499739547	-0.404508497187474
5.34070751110265	-0.809016994374948	0.587785252292473	-0.475528258147577
5.49778714378214	-0.707106781186548	0.707106781186547	-0.5
5.65486677646163	-0.587785252292473	0.809016994374947	-0.475528258147577
5.81194640914112	-0.453990499739547	0.891006524188368	-0.404508497187474
5.96902604182061	-0.309016994374948	0.951056516295154	-0.293892626146237
6.1261056745001	-0.156434465040231	0.987688340595138	-0.154508497187474
6.28318530717959	-2.44929359829471e-16	1	-2.44929359829471e-16
